Precipitation,CapDate,CityCode,TempAvg,TempMax,TempMin,WindDirection,WindSpeed
0.0,2016-01-03,BHM,39,46,32,33,4.33
0.0,2016-01-03,HSV,39,47,31,32,3.86
0.16,2016-01-03,MOB,46,51,41,35,9.73
0.0,2016-01-03,MGM,45,52,38,32,6.86
0.01,2016-01-03,ANC,34,38,29,19,7.8
0.09,2016-01-03,ANN,38,44,31,9,8.7
0.05,2016-01-03,BET,30,36,24,9,16.46
0.15,2016-01-03,BTT,22,32,9,2,3.1
0.6,2016-01-03,CDB,34,36,31,20,9.1
2.15,2016-01-03,CDV,38,43,33,9,9.76
0.0,2016-01-03,BIG,31,39,23,14,17.9
0.0,2016-01-03,FAI,14,30,4,2,2.2
0.02,2016-01-03,GKN,27,34,19,14,8.23
1.22,2016-01-03,HOM,39,42,35,9,11.26
0.0,2016-01-03,ILI,40,42,37,9,19.76
0.7,2016-01-03,JNU,36,40,31,10,9.23
0.14,2016-01-03,ENA,34,37,30,6,11.2
0.17,2016-01-03,KTN,37,41,33,15,6.16
0.05,2016-01-03,AKN,39,42,35,10,18.83
1.3,2016-01-03,ADQ,40,42,36,11,21.8
0.1,2016-01-03,OTZ,27,33,20,11,11.76
0.01,2016-01-03,MCG,30,39,20,15,3.7
0.08,2016-01-03,OME,29,32,25,6,12.86
0.0,2016-01-03,ORT,0,8,-9,20,0.36
0.4,2016-01-03,PAQ,37,42,32,8,10.5
0.0,2016-01-03,PSG,60,60,60,18,1.83
0.0,2016-01-03,PTI,60,60,60,0,0.0
0.0,2016-01-03,SYA,60,60,60,0,0.0
0.37,2016-01-03,SIT,43,46,39,19,11.26
0.55,2016-01-03,SGY,38,42,33,14,5.2
0.15,2016-01-03,SNP,32,35,29,22,9.03
0.04,2016-01-03,TKA,32,39,23,2,4.93
0.0,2016-01-03,TAL,21,29,13,8,3.83
0.05,2016-01-03,BRW,6,9,2,6,13.76
2.42,2016-01-03,YAK,36,40,32,11,5.93
0.0,2016-01-03,DUG,41,57,24,6,4.2
0.0,2016-01-03,IGM,40,54,25,4,4.2
0.0,2016-01-03,PHX,58,69,45,13,5.8
0.0,2016-01-03,TUS,56,69,43,12,12.93
0.0,2016-01-03,INW,29,42,15,27,2.7
0.0,2016-01-03,FSM,39,51,27,27,5.16
0.0,2016-01-03,HRO,38,48,27,29,7.4
0.0,2016-01-03,LZK,42,49,34,0,0.0
0.0,2016-01-03,BFL,47,60,33,34,2.2
0.0,2016-01-03,BIH,27,42,12,32,3.06
0.0,2016-01-03,NID,35,49,21,21,1.56
0.0,2016-01-03,CCR,44,51,37,6,4.06
0.06,2016-01-03,EKA,44,53,33,0,0.0
0.0,2016-01-03,FAT,46,55,36,25,0.86
0.0,2016-01-03,HWD,47,53,41,6,6.56
0.0,2016-01-03,LGB,54,65,43,24,2.13
0.0,2016-01-03,LAX,55,63,45,15,2.76
0.0,2016-01-03,RBL,44,50,36,33,7.73
0.0,2016-01-03,RDD,45,51,38,34,6.16
0.0,2016-01-03,SAC,44,52,34,34,3.63
0.0,2016-01-03,SNS,49,57,41,8,6.46
0.0,2016-01-03,SAN,55,64,45,24,1.83
0.04,2016-01-03,SFO,46,51,41,10,4.43
0.0,2016-01-03,SDB,39,44,33,8,18.8
0.0,2016-01-03,SBA,51,62,39,12,4.9
0.0,2016-01-03,SMX,51,63,37,21,3.86
0.0,2016-01-03,SCK,42,51,33,26,1.86
0.0,2016-01-03,ALS,14,33,-5,32,1.4
0.0,2016-01-03,COS,28,45,9,15,3.13
0.0,2016-01-03,CAG,-10,3,-23,12,0.4
0.0,2016-01-03,DEN,27,40,12,20,7.2
0.0,2016-01-03,GJT,14,24,4,8,4.46
0.0,2016-01-03,PUB,26,47,4,27,1.93
0.0,2016-01-03,BDR,38,43,32,27,8.86
0.0,2016-01-03,BDL,34,40,27,24,6.2
0.0,2016-01-03,NWK,37,46,27,28,6.43
0.0,2016-01-03,ILG,37,46,27,28,6.43
0.75,2016-01-03,DAB,63,68,58,32,6.23
0.49,2016-01-03,FLL,76,82,70,28,5.16
0.62,2016-01-03,GNV,56,62,51,33,4.6
0.49,2016-01-03,JAX,56,61,50,31,4.83
0.5,2016-01-03,EYW,79,82,74,17,4.53
1.13,2016-01-03,MIA,76,82,70,17,3.33
0.14,2016-01-03,MCO,65,72,57,31,6.93
0.12,2016-01-03,PNS,48,52,44,35,9.33
0.46,2016-01-03,TLH,53,57,48,34,6.16
0.18,2016-01-03,TPA,66,71,59,8,5.73
0.97,2016-01-03,VRB,69,74,62,28,6.9
0.24,2016-01-03,PBI,74,80,67,27,6.83
0.66,2016-01-03,AMG,51,58,47,32,5.06
0.0,2016-01-03,AHN,45,54,36,29,5.1
0.0,2016-01-03,ATL,42,48,36,31,10.93
0.0,2016-01-03,AGS,48,56,41,31,3.06
0.01,2016-01-03,MCN,47,53,40,31,5.46
0.41,2016-01-03,SAV,56,62,49,31,5.0
0.11,2016-01-03,ITO,73,81,65,20,3.33
0.0,2016-01-03,HNL,73,81,64,24,5.13
0.04,2016-01-03,OGG,71,80,60,3,8.4
0.04,2016-01-03,MKK,72,79,64,14,8.86
0.0,2016-01-03,LIH,70,79,60,23,6.06
0.0,2016-01-03,BOI,15,23,7,16,3.0
0.0,2016-01-03,LWS,21,29,12,9,2.56
0.0,2016-01-03,PIH,8,21,-4,2,2.66
0.0,2016-01-03,ORD,25,30,20,28,12.16
0.0,2016-01-03,MLI,25,31,19,28,10.9
0.0,2016-01-03,PIA,29,35,22,28,8.2
0.0,2016-01-03,UIN,29,35,22,28,10.53
0.0,2016-01-03,RFD,24,30,18,28,9.73
0.0,2016-01-03,SPI,31,37,24,27,9.96
0.0,2016-01-03,EVV,35,43,27,27,6.06
0.0,2016-01-03,FWA,29,31,25,26,13.2
0.0,2016-01-03,IND,29,34,24,26,10.73
0.03,2016-01-03,SBN,27,30,23,26,11.83
0.0,2016-01-03,CID,22,28,15,28,11.46
0.0,2016-01-03,DSM,24,32,16,30,10.0
0.0,2016-01-03,DBQ,21,27,14,28,11.86
0.0,2016-01-03,SUX,21,31,11,30,8.63
0.0,2016-01-03,ALO,22,29,13,28,11.06
0.0,2016-01-03,CNK,31,43,18,29,8.96
0.0,2016-01-03,DDC,31,46,16,31,8.36
0.0,2016-01-03,GLD,30,46,13,28,8.1
0.0,2016-01-03,P28,34,49,19,32,4.9
0.0,2016-01-03,TOP,32,43,22,29,5.96
0.0,2016-01-03,ICT,33,45,21,29,5.96
0.0,2016-01-03,CVG,33,39,27,26,7.73
0.0,2016-01-03,JKL,37,45,28,24,2.93
0.0,2016-01-03,LEX,35,42,27,25,7.93
0.0,2016-01-03,SDF,38,45,31,27,6.7
0.0,2016-01-03,PAH,36,47,25,27,5.6
0.09,2016-01-03,BTR,47,53,40,23,3.43
0.08,2016-01-03,LCH,47,52,43,12,8.33
0.59,2016-01-03,MSY,50,54,46,13,11.93
0.0,2016-01-03,SHV,46,53,39,21,5.36
0.22,2016-01-03,ASD,47,53,42,23,6.66
0.0,2016-01-03,BGR,29,35,22,24,4.6
0.1,2016-01-03,CAR,23,29,17,25,5.66
0.01,2016-01-03,PWM,34,39,28,24,7.53
0.0,2016-01-03,BWI,37,48,26,27,5.36
0.0,2016-01-03,SBY,38,48,28,27,3.46
0.0,2016-01-03,BOS,37,41,31,25,11.83
0.0,2016-01-03,MQE,60,60,60,25,11.6
0.0,2016-01-03,ORH,31,35,26,25,11.56
0.01,2016-01-03,APN,27,32,21,26,8.96
0.0,2016-01-03,DTW,32,36,27,24,12.96
0.05,2016-01-03,FNT,31,34,27,27,11.13
0.04,2016-01-03,GRR,30,33,26,27,13.3
0.08,2016-01-03,HTL,26,30,21,27,11.16
0.04,2016-01-03,LAN,29,32,25,26,12.5
0.21,2016-01-03,MQT,23,27,18,0,0.0
0.0,2016-01-03,MKG,31,35,27,28,13.23
0.04,2016-01-03,ANJ,24,31,17,28,9.56
0.0,2016-01-03,DLH,22,27,17,30,11.56
0.0,2016-01-03,INL,21,25,15,29,7.76
0.0,2016-01-03,MSP,23,30,16,28,9.36
0.0,2016-01-03,RST,19,26,13,29,13.73
0.0,2016-01-03,STC,20,29,10,29,9.03
0.0,2016-01-03,GLH,42,48,35,30,4.56
0.0,2016-01-03,GWO,40,48,32,23,2.36
0.38,2016-01-03,GPT,47,52,42,35,9.76
0.02,2016-01-03,HBG,46,51,40,34,5.76
0.0,2016-01-03,JAN,44,50,38,33,5.43
0.01,2016-01-03,MEI,43,49,36,34,5.56
0.0,2016-01-03,TUP,40,50,31,23,4.13
0.0,2016-01-03,CGI,37,46,27,29,5.96
0.0,2016-01-03,COU,33,41,24,28,9.26
0.0,2016-01-03,MCI,29,38,20,28,8.13
0.0,2016-01-03,VIH,33,41,24,27,8.63
0.0,2016-01-03,SGF,35,45,23,28,7.5
0.0,2016-01-03,STJ,26,36,16,28,5.5
0.0,2016-01-03,STL,36,43,29,28,9.03
0.0,2016-01-03,BIL,23,29,16,22,18.86
0.0,2016-01-03,BTM,0,13,-12,15,1.8
0.0,2016-01-03,CTB,8,22,-6,21,4.83
0.0,2016-01-03,DLN,7,16,-2,19,6.4
0.0,2016-01-03,GGW,8,18,-1,23,6.16
0.0,2016-01-03,GTF,17,27,7,22,11.0
0.0,2016-01-03,HVR,10,20,0,18,9.0
0.0,2016-01-03,HLN,3,12,-5,23,0.53
0.01,2016-01-03,GPI,6,16,-3,31,1.6
0.0,2016-01-03,MLS,19,31,6,21,6.26
0.0,2016-01-03,MSO,7,16,-2,12,2.33
0.0,2016-01-03,GRI,26,37,15,30,9.03
0.0,2016-01-03,LNK,26,36,16,18,5.7
0.0,2016-01-03,OFK,22,32,12,29,9.43
0.0,2016-01-03,LBF,26,43,8,30,6.7
0.0,2016-01-03,OMA,22,31,12,31,6.83
0.0,2016-01-03,BFF,18,31,5,21,6.36
0.0,2016-01-03,SNY,21,33,8,28,10.86
0.0,2016-01-03,VTN,20,34,7,26,7.8
0.0,2016-01-03,ELY,7,22,-8,26,3.46
0.0,2016-01-03,P68,12,24,-7,12,3.4
0.0,2016-01-03,LAS,44,52,35,24,1.03
0.0,2016-01-03,DRA,39,47,30,9,7.96
0.0,2016-01-03,RNO,22,29,15,18,2.96
0.0,2016-01-03,WMC,12,25,-1,8,6.6
0.0,2016-01-03,CON,34,39,29,24,6.16
